,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
12:00 AM,Matthew T,,Radio Arcana,,,,
1:00 AM,,,,,,,
2:00 AM,,,,,,,
3:00 AM,,,,,,,
4:00 AM,,,,,,,
5:00 AM,,,,,,,
6:00 AM,,,,,,,
7:00 AM,,,,georg,,,
8:00 AM,,,Joe R,georg,,,
9:00 AM,,,Brian Plays Some Good Songs,,,Screech h(O)wl,
10:00 AM,,Laura,Sunnyvee,Earth2Domz,Pinhook & Country Soul Songbook,Screech h(O)wl,Out There a Minute
11:00 AM,,Wild Hare,Kirsten,,Pinhook & Country Soul Songbook,Screech h(O)wl,Out There a Minute
12:00 PM,Sarah R,Wild Hare,,,,Cole Faloon,Dan
1:00 PM,Sarah R,,,,Dom Savant,Cole Faloon,Dan
2:00 PM,,abbsterpickles,,,Dom Savant,Elephant Noise,Divaville Lounge
3:00 PM,,,,,,Rajee K,Divaville Lounge
4:00 PM,polispinoza,,Madyson L,Musical Odyssey,Tokyo Rewind,Rajee K,Local Music Hour
5:00 PM,Uncle Randy & Cousin Zoë,Bhavika V,Craig Layabout,Musical Odyssey,Tokyo Rewind,Mystery Show,News/Sports
6:00 PM,Uncle Randy & Cousin Zoë,Bull City Cosmic Hoedown,Bijan T,Max Fischer,MC,Mystery Show,Mumbly Joe
7:00 PM,Alex,Bull City Cosmic Hoedown,Patrick / Hannah / Isabella / Samuel,Max Fischer,,DJ Normal,Mumbly Joe
8:00 PM,Viva / Bendte,Jeep Ward,,Sophia B,,leafhead,
9:00 PM,Viva / Bendte,Jeep Ward,Soul Survivor,John B,,leafhead,Who's Got The Cuckoo?!
10:00 PM,Kevin S,LOUD Show,BULLY-CITY,Mixed Reality,Street Flava Mixshow,@jdl.farcaster,DJLNM
11:00 PM,Kevin S,LOUD Show,BULLY-CITY,Mixed Reality,Street Flava Mixshow,@jdl.farcaster,DJLNM
