show start time,monday,tuesday,wednesday,thursday,friday,saturday,sunday
midnight,Matthew T,Lunokhod 3,Radio Arcana,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3
1 am,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3
2 am,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3
3 am,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3
4 am,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3
5 am,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3
6 am,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3
7 am,Lunokhod 3,Lunokhod 3,Lunokhod 3,georg,Lunokhod 3,Lunokhod 3,Lunokhod 3
8 am,Lunokhod 3,Lunokhod 3,Joe R,georg,Lunokhod 3,Lunokhod 3,Lunokhod 3
9 am,Lunokhod 3,Lunokhod 3,Brian Plays Some Good Songs,,Lunokhod 3,Screech h(O)wl,Lunokhod 3
10 am,Lunokhod 3,Laura,Sunnyvee,Earth2Domz,Pinhook & Country Soul Songbook w/ Kym,Screech h(O)wl,Out There a Minute
11 am,Lunokhod 3,Wild Hare w/ Dudek,Kirsten,Lunokhod 3,Pinhook & Country Soul Songbook w/ Kym,Screech h(O)wl,Out There a Minute
noon,Sarah R,Wild Hare w/ Dudek,Lunokhod 3,Lunokhod 3,Lunokhod 3,Cole Faloon,Dan
1 pm,Sarah R,Lunokhod 3,Lunokhod 3,Lunokhod 3,Dom Savant,Cole Faloon,Dan
2 pm,Lunokhod 3,abbsterpickles,Lunokhod 3,Lunokhod 3,Dom Savant,Elephant Noise,Divaville Lounge
3 pm,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Lunokhod 3,Rajee K,Divaville Lounge
4 pm,polispinoza,Lunokhod 3,Madyson L,Musical Odyssey w/ Professor G,Tokyo Rewind w/ hierophant,Rajee K,Local Music Hour
5 pm,Uncle Randy & Cousin Zoë,Bhavika V,Craig Layabout,Musical Odyssey w/ Professor G,Tokyo Rewind w/ hierophant,Mystery Show w/ Mystery DJ,News/Sports
6 pm,Uncle Randy & Cousin Zoë,Bull City Cosmic Hoedown w/ Washboard Dave,Bijan T,Max Fischer,MC,Mystery Show w/ Mystery DJ,Mumbly Joe
7 pm,Alex,Bull City Cosmic Hoedown w/ Washboard Dave,Patrick / Hannah / Isabella / Samuel,Max Fischer,Lunokhod 3,DJ Normal,Mumbly Joe
8 pm,Viva / Bendte,Jeep Ward,Lunokhod 3,Sophia B,Lunokhod 3,leafhead,Lunokhod 3
9 pm,Viva / Bendte,Jeep Ward,Soul Survivor,John B,Lunokhod 3,leafhead,Who's Got The Cuckoo?! w/ Robby
10 pm,Kevin S,LOUD Show w/ southpawpaw,Bully City Show w/ BULLY-CITY,Mixed Reality w/ DJ REPLI,Street Flava Mixshow w/ SAMPS,@jdl.farcaster,DJLNM
11 pm,Kevin S,LOUD Show w/ southpawpaw,Bully City Show w/ BULLY-CITY,Mixed Reality w/ DJ REPLI,Street Flava Mixshow w/ SAMPS,@jdl.farcaster,DJLNM
